Metals Mix Method with IS longer cali	CAL1	Blank	9/23/2016 11:54:59 AM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	-0.0936625	-0.1063610	-0.1266098								-0.1088778	0.0166172	15.26
Metals Mix Method with IS longer cali	CAL1	Blank	9/23/2016 11:54:59 AM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	0.4812493	0.4799765	0.5010887								0.4874382	0.0118388	2.43
Metals Mix Method with IS longer cali	CAL1	Blank	9/23/2016 11:54:59 AM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.0103147	0.0049189	0.0127622								0.0093319	0.0040129	43.00
Metals Mix Method with IS longer cali	CAL1	Blank	9/23/2016 11:54:59 AM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	0.4924488	0.4923329	0.4814795								0.4887538	0.0062999	1.29
Metals Mix Method with IS longer cali	CAL2	1 ppb	9/23/2016 12:02:58 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	-0.0451003	-0.0959913	-0.1068022								-0.0826313	0.0329492	39.87
Metals Mix Method with IS longer cali	CAL2	1 ppb	9/23/2016 12:02:58 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	1.194060	1.218319	1.193048								1.201809	0.0143069	1.19
Metals Mix Method with IS longer cali	CAL2	1 ppb	9/23/2016 12:02:58 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.0066402	0.0779390	0.0198725								0.0348172	0.0379261	108.93
Metals Mix Method with IS longer cali	CAL2	1 ppb	9/23/2016 12:02:58 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	0.5381286	0.5664353	0.5450370								0.5498670	0.0147585	2.68
Metals Mix Method with IS longer cali	CAL3	2ppb	9/23/2016 12:10:57 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	-0.0917002	-0.0612793	-0.0586674								-0.0705490	0.0183640	26.03
Metals Mix Method with IS longer cali	CAL3	2ppb	9/23/2016 12:10:57 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	1.899073	1.955821	1.938710								1.931201	0.0291097	1.51
Metals Mix Method with IS longer cali	CAL3	2ppb	9/23/2016 12:10:57 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.0913411	0.1094034	0.0376319								0.0794588	0.0373320	46.98
Metals Mix Method with IS longer cali	CAL3	2ppb	9/23/2016 12:10:57 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	0.5349898	0.5383251	0.5707987								0.5480379	0.0197819	3.61
Metals Mix Method with IS longer cali	CAL4	5ppb	9/23/2016 12:18:57 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	-0.0201423	-0.0134958	0.0012147								-0.0108078	0.0109293	101.12
Metals Mix Method with IS longer cali	CAL4	5ppb	9/23/2016 12:18:57 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	4.042832	3.992005	4.081998								4.038945	0.0451225	1.12
Metals Mix Method with IS longer cali	CAL4	5ppb	9/23/2016 12:18:57 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.2587135	0.2822661	0.2735104								0.2714966	0.0119047	4.38
Metals Mix Method with IS longer cali	CAL4	5ppb	9/23/2016 12:18:57 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	0.6465216	0.6446131	0.6775651								0.6562333	0.0184985	2.82
Metals Mix Method with IS longer cali	CAL5	10ppb	9/23/2016 12:26:58 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	0.1240953	0.0598223	0.1211528								0.1016902	0.0362884	35.69
Metals Mix Method with IS longer cali	CAL5	10ppb	9/23/2016 12:26:58 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	7.775457	7.781818	7.795012								7.784096	0.0099744	0.13
Metals Mix Method with IS longer cali	CAL5	10ppb	9/23/2016 12:26:58 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.4617900	0.4883276	0.4990818								0.4830665	0.0191945	3.97
Metals Mix Method with IS longer cali	CAL5	10ppb	9/23/2016 12:26:58 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	0.8583031	0.9130172	0.9050317								0.8921173	0.0295550	3.31
Metals Mix Method with IS longer cali	CAL6	20 ppb	9/23/2016 12:34:57 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	0.3079305	0.2349515	0.2649263								0.2692695	0.0366829	13.62
Metals Mix Method with IS longer cali	CAL6	20 ppb	9/23/2016 12:34:57 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	14.98383	14.87825	14.79029								14.88412	0.0969032	0.65
Metals Mix Method with IS longer cali	CAL6	20 ppb	9/23/2016 12:34:57 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	0.9722160	0.9417340	0.9737957								0.9625819	0.0180721	1.88
Metals Mix Method with IS longer cali	CAL6	20 ppb	9/23/2016 12:34:57 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	1.318175	1.300896	1.290958								1.303343	0.0137728	1.06
Metals Mix Method with IS longer cali	CAL7	50 ppb	9/23/2016 12:42:56 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	0.8703963	0.8537400	0.8154560								0.8465308	0.0281707	3.33
Metals Mix Method with IS longer cali	CAL7	50 ppb	9/23/2016 12:42:56 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	36.48743	36.42074	36.27577								36.39465	0.1082136	0.30
Metals Mix Method with IS longer cali	CAL7	50 ppb	9/23/2016 12:42:56 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	2.439634	2.462332	2.417821								2.439929	0.0222571	0.91
Metals Mix Method with IS longer cali	CAL7	50 ppb	9/23/2016 12:42:56 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	2.601369	2.628640	2.619299								2.616436	0.0138593	0.53
Metals Mix Method with IS longer cali	CAL8	100 ppb	9/23/2016 12:50:56 PM		MRC	As	QUANT	193.759	1	ppb																				After Drift Correction	1.849472	1.832616	1.832673								1.838254	0.0097157	0.53
Metals Mix Method with IS longer cali	CAL8	100 ppb	9/23/2016 12:50:56 PM		MRC	Cd	QUANT	214.438	1	ppb																				After Drift Correction	73.06675	73.15128	73.82952								73.34918	0.4181248	0.57
Metals Mix Method with IS longer cali	CAL8	100 ppb	9/23/2016 12:50:56 PM		MRC	Hg	QUANT	194.227	1	ppb																				After Drift Correction	4.894208	4.910345	4.965381								4.923312	0.0373160	0.76
Metals Mix Method with IS longer cali	CAL8	100 ppb	9/23/2016 12:50:56 PM		MRC	Pb	QUANT	220.353	1	ppb																				After Drift Correction	4.797133	4.787098	4.805783								4.796672	0.0093510	0.19
Metals Mix Method with IS longer cali	UNK	CHECK	10/13/2016 11:10:59 AM		MRC	As	QUANT	193.759	1	ppb	22.5	23.4									22.9	0.588	2.56	1	 L					After Drift Correction	0.3282169	0.3443437									0.3362803	0.0114034	3.39
Metals Mix Method with IS longer cali	UNK	CHECK	10/13/2016 11:10:59 AM		MRC	Cd	QUANT	214.438	1	ppb	21.7	21.8									21.7	0.101	0.47	1						After Drift Correction	16.17390	16.27821									16.22606	0.0737583	0.45
Metals Mix Method with IS longer cali	UNK	CHECK	10/13/2016 11:10:59 AM		MRC	Hg	QUANT	194.227	1	ppb	22.8	21.8									22.3	0.706	3.17	1						After Drift Correction	1.114687	1.065530									1.090109	0.0347593	3.19
