9,"[A00019827003] VLAK-F",1,,2
10,"[A00019827003] VLAK-F",2,,2
11,"[A00019827006] VILLAGE-F",3,,2
12,"[A00019827006] VILLAGE-F",4,,2
13,"[A00019827009] Main-F",5,,2
14,"[A00019827009] Main-F",6,,2
15,"[A00019828003] Plant-F",7,,2
16,"[A00019828003] Plant-F",8,,2
17,"[A00019828006] Hostel-F",9,,2
18,"[A00019828006] Hostel-F",10,,2
19,"[A00019829001] Hope",11,,2
20,"[A00019829001] Hope",12,,2
21,"[A00019829002] Main",13,,2
22,"[A00019829002] Main",14,,2
23,"[A00019829003] VLAK SHAFT",15,,2
24,"[A00019829003] VLAK SHAFT",16,,2
25,"[A00019831003] AEOD-F",17,,2
26,"[A00019831003] AEOD-F",18,,2
27,"[A00019831006] Bank2-F",19,,2
28,"[A00019831006] Bank2-F",20,,2
29,"[A00019831009] Bank5-F",21,,2
30,"[A00019831009] Bank5-F",22,,2
31,"[A00019832001] Bank2",23,,2
32,"[A00019832001] Bank2",24,,2
33,"[A00019832002] Bank5",25,,2
34,"[A00019832002] Bank5",26,,2
35,"[A00019833003] NW#-F",27,,2
36,"[A00019833003] NW#-F",28,,2
37,"[A00019833006] SCHOOL-F",29,,2
38,"[A00019833006] SCHOOL-F",30,,2
39,"[A00019833009] VILLAGE-F",31,,2
40,"[A00019833009] VILLAGE-F",32,,2
41,"[A00019834001] CANTEEN",33,,2
42,"[A00019834001] CANTEEN",34,,2
43,"[A00019834002] NW#-POT",35,,2
44,"[A00019834002] NW#-POT",36,,2
45,"[A00019852002] NGTPOT",37,,2
46,"[A00019852002] NGTPOT",38,,2
47,"[A00019856001] R/WAT DAM",39,,2
48,"[A00019856001] R/WAT DAM",40,,2
